word,article,plural,translation,example sentence normal,example sentence plural
Zeitschrift,die,-en,magazine,Ich lese eine Modezeitschrift. (I read a fashion magazine.),Die Zeitschriften liegen im Wartezimmer. (The magazines are in the waiting room.)  
Zeitung,die,-en,newspaper,Ich kaufe jeden Morgen die Zeitung. (I buy the newspaper every morning.),Die Zeitungen auf dem Ständer sind frisch. (The newspapers on the rack are fresh.)  
Zelt,das,-e,tent,Wir bauen das Zelt auf der Wiese auf. (We set up the tent on the meadow.),Die Zelte im Camp sind bunt. (The tents at the camp are colorful.)  
zentral,-,-,central,Die Wohnung liegt sehr zentral. (The apartment is very central.),  
Zentrum,das,-en,center,Das Zentrum der Stadt ist sehr lebendig. (The city center is very lively.),Die Zentren großer Städte sind teuer. (The centers of big cities are expensive.)  
zerlegen,-,-,to disassemble,Ich zerlege den Schrank zum Transport. (I disassemble the cabinet for transport.),  
Zettel,der,-,note,Schreib mir einen Zettel. (Write me a note.),  
ziehen (1),-,-,to pull,Zieh die Tür zu! (Pull the door shut!),  
ziehen (2),-,-,to move,Ich ziehe nächsten Monat um. (I’m moving next month.),  
Ziel,das,-e,goal,Mein Ziel ist es, fließend Deutsch zu sprechen. (My goal is to speak German fluently.),Die Ziele des Projekts sind klar definiert. (The goals of the project are clearly defined.)  
Zimmer,das,-,room,Das Zimmer ist hell und freundlich. (The room is bright and friendly.),Die Zimmer in diesem Hotel sind sauber. (The rooms in this hotel are clean.)  
Zoo,der,-s,zoo,Wir gehen am Sonntag in den Zoo. (We go to the zoo on Sunday.),Die Zoos in Europa beherbergen viele Arten. (The zoos in Europe house many species.)  
zu (1),-,-,to (direction),Ich gehe zu Fuß zur Arbeit. (I walk to work.),  
zu (2),-,-,for (with dative),Das Geschenk ist zu deinem Geburtstag. (The gift is for your birthday.),  
zu (3),-,-,too (excessively),Es ist zu kalt draußen. (It is too cold outside.),  
zu (4),-,-,to (bringing someone),Ich bringe dich zu Hause. (I’ll take you home.),  
zu Fuß,-,-,on foot,Ich komme heute zu Fuß. (I’m coming on foot today.),  
zu Hause,-,-,at home,Ich bleibe heute zu Hause. (I’m staying at home today.),  
zu Mittag essen,-,-,to eat lunch,Wir essen um zwölf zu Mittag. (We eat lunch at twelve.),  
Wohnort,der,-e,place of residence,Mein Wohnort ist klein, aber schön. (My place of residence is small but beautiful.),  
Weihnachtsmarkt,der,-e,Christmas market,Der Weihnachtsmarkt öffnet im Dezember. (The Christmas market opens in December.),Die Weihnachtsmärkte sind sehr festlich. (The Christmas markets are very festive.)  
Wohnungsanzeige,die,-n,apartment ad,Ich habe eine Wohnungsanzeige gelesen. (I read an apartment ad.),Die Wohnungsanzeigen sind online verfügbar. (The apartment ads are available online.)  
Wohnungssuche,die,(no plural),apartment search,Die Wohnungssuche dauert lange. (The apartment search takes a long time.),  
weiß,-,-,white,Der Schnee ist weiß. (The snow is white.),  
Wohnzimmer,das,-,living room,Das Wohnzimmer ist sehr gemütlich. (The living room is very cozy.),Die Wohnzimmer haben große Fenster. (The living rooms have large windows.)  
zulbereiten,-,-,to prepare,Ich bereite das Abendessen vor. (I prepare dinner.),  
Zucker,der,(no plural),sugar,Bitte gib Zucker in den Kaffee. (Please add sugar to the coffee.),  
zuerst,-,-,first,Zuerst machen wir die Hausaufgaben. (First, we do the homework.),  
Zufall,der,-e,coincidence,Was für ein Zufall! (What a coincidence!),Die Zufälle des Lebens sind seltsam. (Life’s coincidences are strange.)  
Weise,die,(no plural),way (manner),Auf diese Weise lerne ich am besten. (In this way I learn best.),  
weit (1),-,-,far,Das Ziel ist noch weit entfernt. (The destination is still far away.),  
weit (2),-,-,wide,Die Straße ist sehr weit. (The street is very wide.),  
weitere,-,-,further,Wir besprechen weitere Details morgen. (We’ll discuss further details tomorrow.),  
weiterhören,-,-,to keep listening,Hör weiter zu! (Keep listening!),  
Welt,die,-en,world,Die Welt ist groß und vielfältig. (The world is big and diverse.),Die Welten in Büchern sind faszinierend. (The worlds in books are fascinating.)  
wem,-,-,to whom,Wem gibst du das Geschenk? (To whom are you giving the gift?),  
wen,-,-,whom,Wen hast du eingeladen? (Whom did you invite?),  
wenig,-,-,little,Ich habe nur wenig Zeit. (I have only little time.),  
wer,-,-,who,Wer ist dein Lehrer? (Who is your teacher?),  
werden,-,-,to become,Ich werde bald 30 Jahre alt. (I will soon be 30 years old.),  
werfen,-,-,to throw,Wir werfen den Ball. (We throw the ball.),
werfen (2),-,-,to throw away,Wir werfen den Müll weg. (We throw the trash away.),
werfen (3),-,-,to throw (a party),Wir werfen eine große Feier. (We throw a big party.),
werfen (4),-,-,to throw (a glance),Ich werfe einen Blick auf die Uhr. (I throw a glance at the clock.),
werfen (5),-,-,to throw (a question),Ich werfe die Frage in den Raum. (I throw the question into the room.),
werfen (6),-,-,to throw (a challenge),Wir werfen die Herausforderung an. (We throw the challenge at.),
Werkstatt,die,-en,workshop,Die Werkstatt repariert Autos. (The workshop repairs cars.),Die Werkstätten bieten auch Schulungen an. (The workshops also offer training.)  
Wüste,die,-n,desert,Die Wüste ist heiß und trocken. (The desert is hot and dry.),Die Wüsten Afrikas sind sehr groß. (The deserts of Africa are very large.)  
Wetter,das,-,weather,Das Wetter ist heute schön. (The weather is nice today.),Das Wetter ist heute wunderbar. (The weather is wonderful today.)  
Wetterbericht,der,-e,weather report,Der Wetterbericht sagt Regen voraus. (The weather report predicts rain.),Die Wetterberichte stimmen oft nicht. (The weather reports are often wrong.)  
W-Frage,die,-n,W-question,Die W-Frage beginnt mit einem Fragewort. (The W-question begins with a question word.),Die W-Fragen im Test waren einfach. (The W-questions in the test were easy.)  
WG,die,-s,shared apartment,Ich wohne in einer WG. (I live in a shared apartment.),Die WGs in dieser Stadt sind schnell ausgebucht. (The shared apartments in this city are quickly booked.)  
wichtig,-,-,important,Das Meeting ist wichtig. (The meeting is important.),  
wie,-,-,how,Wie ist Ihr Befinden heute? (How is your well-being today?),Wie ist deine Handynummer? (What is your mobile phone number?)  
wie lange,-,-,how long,Wie lange bleibst du? (How long are you staying?),Wie lange dauert die Reise? (How long does the journey take?)  
wie viel,-,-,how much/how many,Wie viel kostet das? (How much does it cost?),Wie viele Leute kommen? (How many people are coming?)  
wieder,-,-,again,Wir versuchen es wieder. (We’ll try it again.),  
wiederholen,-,-,to repeat,Kannst du das bitte wiederholen? (Can you please repeat that?),Wir wiederholen die Übungen morgen. (We’ll repeat the exercises tomorrow.)  
wiegen,-,-,to weigh,Wie viel wiegst du? (How much do you weigh?),  
Wolke,die,-n,cloud,Die Wolke am Himmel ist weiß. (The cloud in the sky is white.),Die Wolken ziehen schnell. (The clouds are moving quickly.)  
wollen,-,-,to want,Ich will ins Kino gehen. (I want to go to the cinema.),  
Wort,das,-er,word,Das Wort hat fünf Buchstaben. (The word has five letters.),Die Wörter in diesem Kapitel sind nützlich. (The words in this chapter are useful.)  
Wortanfang,der,-e,beginning of word,Der Wortanfang wird großgeschrieben. (The beginning of the word is capitalized.),Die Wortanfänge bestimmen den Rhythmus. (The beginnings of words determine the rhythm.)  
Wortende,das,-n,end of word,Das Wortende ist ungewöhnlich. (The end of the word is unusual.),Die Wortenden ändern sich je nach Fall. (The ends of words change depending on the case.)  
Wörterbuch,das,-er,dictionary,Ich schlage das Wort im Wörterbuch nach. (I look up the word in the dictionary.),Die Wörterbücher im Regal sind alt. (The dictionaries on the shelf are old.)  
Wortgruppe,die,-n,word group,Die Wortgruppe drückt die Bedeutung aus. (The word group expresses the meaning.),Die Wortgruppen variieren im Text. (The word groups vary in the text.)  
Wortinnere,das,-,inside of word,Im Wortinnere kann sich die Bedeutung verändern. (Inside the word, the meaning can change.),  
Wortliste,die,-n,word list,Ich erstelle eine Wortliste für den Test. (I create a word list for the test.),Die Wortlisten helfen beim Lernen. (The word lists help with learning.)  
Wortteil,der,-e,part of a word,Der Wortteil „un-“ zeigt eine Verneinung an. (The word part “un-” indicates a negation.),Die Wortteile bestimmen die Bedeutung des gesamten Wortes. (The parts of a word determine the meaning of the entire word.)  
Wunde,die,-n,wound,Die Wunde blutet stark. (The wound is bleeding heavily.),Die Wunden müssen versorgt werden. (The wounds need to be treated.)  
wunderbar,-,-,wonderful,Das Konzert war wunderbar. (The concert was wonderful.),  
wunderschön,-,-,beautiful,Der Garten ist wunderschön. (The garden is beautiful.),Die Landschaften sind wunderschön. (The landscapes are beautiful.)  
Wunsch,der,-e,wish,Mein größter Wunsch ist Gesundheit. (My greatest wish is health.),Die Wünsche der Kinder sind vielfältig. (The children’s wishes are varied.)  
wünschen,-,-,to wish,Ich wünsche dir alles Gute. (I wish you all the best.),  
würfeln,-,-,to roll (dice),Wir würfeln um die Teamaufstellung. (We roll dice for team formation.),  
Wurst,die,-e,sausage,Auf dem Grill liegt Wurst. (There are sausages on the grill.),Die Würste sind köstlich. (The sausages are delicious.)  
Würstchen,das,-,small sausage,Ich esse gern Würstchen mit Senf. (I like eating small sausages with mustard.),  
Würstel,das,-,small sausage,In Bayern heißen sie Würstel. (In Bavaria they’re called “Würstel”.),  
W-Wort,das,-er,W-word,Ein W-Wort beginnt mit „W“. (A W-word starts with “W”.),Die W-Wörter im Quiz sind schwer. (The W-words in the quiz are hard.)  
Yoga,-,-,yoga,Ich mache Yoga jeden Morgen. (I do yoga every morning.),  
Zahl,die,-en,number,Die Zahl vier ist meine Glückszahl. (The number four is my lucky number.),Die Zahlen auf dem Lottoschein stimmen nicht. (The numbers on the lottery ticket don’t match.)  
zahlen,-,-,to pay,Ich zahle mit Karte. (I pay by card.),  
Zahn,der,-e,tooth,Mein Zahn tut weh. (My tooth hurts.),Die Zähne sind weiß. (The teeth are white.)  
Zahnarzt,der,-e,dentist (male),Der Zahnarzt kontrolliert meine Zähne. (The dentist checks my teeth.),Die Zahnärzte haben heute geschlossen. (The male dentists are closed today.)  
Zahnärztin,die,-nen,dentist (female),Die Zahnärztin ist sehr freundlich. (The female dentist is very friendly.),Die Zahnärztinnen arbeiten in der Klinik. (The female dentists work in the clinic.)  
Zahnschmerzen,die,-,toothache,Ich habe Zahnschmerzen. (I have a toothache.),  
zehn,-,-,ten,Ich habe zehn Bücher. (I have ten books.),  
zeichnen,-,-,to draw,Ich zeichne ein Bild. (I draw a picture.),Wir zeichnen Linien auf das Papier. (We draw lines on the paper.)  
Zeichnung,die,-en,drawing,Die Zeichnung zeigt ein schönes Bild. (The drawing shows a beautiful image.),Die Zeichnungen hängen an der Wand. (The drawings hang on the wall.)  
zeigen,-,-,to show,Ich zeige dir den Weg. (I’ll show you the way.),  
zufrieden,-,-,satisfied,Ich bin mit dem Ergebnis zufrieden. (I am satisfied with the result.),  
Zug,der,-e,train,Der Zug fährt gleich ab. (The train is leaving soon.),Die Züge sind pünktlich. (The trains are on time.)  
zum Glück,-,-,luckily,Zum Glück habe ich den Termin nicht verpasst. (Luckily I didn’t miss the appointment.),  
zum Schluss,-,-,finally,Zum Schluss bedankte er sich. (Finally, he gave thanks.),  
zum Wohl,-,-,for health,Prost, zum Wohl! (Cheers, to health!),  
Zumba,-,-,Zumba (dance form),Ich mache Zumba im Fitnessstudio. (I do Zumba at the gym.),  
zulordnen,-,-,to assign,Ordne die Wörter den Bildern zu. (Assign the words to the pictures.),  
zurück,-,-,back,Ich gehe jetzt zurück. (I’m going back now.),  
zurückfahren,-,-,to drive back,Ich fahre morgen zurück. (I’ll drive back tomorrow.),  
zurückfinden,-,-,to find one's way back,Ich finde den Weg zurück. (I find the way back.),  
zurück schicken,-,-,to send back,Ich werde das Paket zurückschicken. (I will send the package back.),  
zurzeit,-,-,currently,Zurzeit lese ich viel. (Currently I read a lot.),  
zusammen,-,-,together,Zusammen bilden wir ein gutes Team. (Together we form a good team.),  
zusammengehören,-,-,to belong together,Diese Teile gehören zusammen. (These parts belong together.),  
zusammenpassen,-,-,to match,Die Farben passen gut zusammen. (The colors match well together.),  
Zuschauer,der,-e,spectator,Der Zuschauer applaudiert laut. (The spectator applauds loudly.),Die Zuschauer genießen die Show. (The spectators enjoy the show.)  
Zuschauerin,die,-nen,spectator (female),Die Zuschauerin stellt eine Frage. (The female spectator asks a question.),Die Zuschauerinnen sitzen in der ersten Reihe. (The female spectators sit in the first row.)  
zwanzig,-,-,twenty,Ich bin zwanzig Jahre alt. (I am twenty years old.),  
zwei,-,-,two,Ich habe zwei Katzen. (I have two cats.),  
zweimal,-,-,twice,Ich war schon zweimal dort. (I have been there twice.),  
zweit,-,-,second,Das ist mein zweitbester Versuch. (That is my second-best attempt.),  
Zwiebel,die,-n,onion,Ich schneide eine Zwiebel. (I cut an onion.),Die Zwiebeln bringen die Augen zum Tränen. (The onions make the eyes tear up.)  
zwischen,-,-,between,Der Hund sitzt zwischen den     Kindern. (The dog sits between the children.),  
zwölf,-,-,twelve,Ich esse zwölf Kekse. (I eat twelve cookies.),  
Zweifel,der,-,doubt,Ich habe Zweifel an seiner Ehrlichkeit. (I have doubts about his honesty.),Die Zweifel sind unbegründet. (The doubts are unfounded.)
Zweifeln,-,-,to doubt,Ich zweifle an seiner Aussage. (I doubt his statement.),
Zweifeln (2),-,-,to doubt (someone),Ich zweifle an dir. (I doubt you.),
Zweifeln (3),-,-,to doubt (something),Ich zweifle an der Richtigkeit. (I doubt the correctness.),
Zweifeln (4),-,-,to doubt (a decision),Ich zweifle an der Entscheidung. (I doubt the decision.),
